"Client";"BLUEBOOK";"RETAINED";"NPOLICY";"CLM_AMT";"AGE";"YOJ";"GENDER";"MARRIED";"MAX_EDUC"
"1";9860;6;2;3336;42;13;"M";"Yes";"<High School"
"2";1500;4;2;5583;35;12;"M";"No";"High School"
"3";30460;4;1;39103,8798990185;58;13;"M";"No";"Masters"
"4";16580;4;2;0;45;14;"F";"Yes";"High School"
"5";23030;4;1;0;49;13;"F";"Yes";"High School"
"6";20730;9;1;0;38;10;"F";"Yes";"Bachelors"
"7";27420;10;1;5342;60;7;"F";"No";"PhD"
"8";24360;6;3;0;43;11;"F";"No";"PhD"
"9";36460;1;3;0;43;11;"F";"No";"PhD"
"10";20030;4;3;0;43;11;"F";"No";"PhD"
"11";7520;1;2;0;42;13;"F";"Yes";"Bachelors"
"12";14300;17;2;0;42;13;"F";"Yes";"Bachelors"
"13";11050;6;2;0;58;NA;"M";"Yes";"Masters"
"14";3770;1;2;9117;27;11;"M";"No";"High School"
"15";15240;13;1;0;38;9;"M";"No";"<High School"
"16";11560;4;1;0;51;12;"F";"Yes";"Bachelors"
"17";13950;4;2;0;38;12;"F";"No";"Bachelors"
"18";15110;13;2;0;38;12;"F";"No";"Bachelors"
"19";43590;1;1;0;66;12;"F";"Yes";"Bachelors"
"20";15140;22;1;0;39;10;"F";"No";"High School"
"21";26200;1;1;0;53;16;"F";"Yes";"Bachelors"
"22";9170;11;3;4127;35;14;"F";"Yes";"High School"
"23";23380;1;3;0;35;14;"F";"Yes";"High School"
"24";11390;11;3;0;50;14;"M";"Yes";"<High School"
"25";20000;14;3;0;50;14;"M";"Yes";"<High School"
"26";15330;4;3;0;50;14;"M";"Yes";"<High School"
"27";20310;9;1;0;26;12;"F";"Yes";"High School"
"28";6770;4;1;0;29;4;"F";"No";"High School"
"29";21830;3;3;0;46;11;"M";"No";"PhD"
"30";4200;1;4;4102;27;13;"F";"Yes";"High School"
"31";6700;10;1;1070;52;13;"M";"Yes";"Masters"
"32";13030;1;3;14508,9641169052;41;0;"F";"No";"Masters"
"33";14630;17;1;0;56;11;"M";"No";"High School"
"34";13070;1;1;5064;62;16;"F";"Yes";"Bachelors"
"35";10010;6;1;0;53;6;"M";"Yes";"High School"
"36";16010;6;1;0;49;14;"M";"Yes";"Bachelors"
"37";13030;1;4;4307;32;11;"F";"No";"<High School"
"38";9810;4;4;0;34;11;"F";"No";"High School"
"39";48380;4;2;6290;59;14;"F";"Yes";"PhD"
"40";10840;7;1;0;39;7;"M";"Yes";"<High School"
"41";15400;6;1;0;37;9;"F";"No";"<High School"
"42";8540;6;1;1745;52;13;"M";"No";"<High School"
"43";8420;7;1;0;49;0;"F";"No";"Bachelors"
"44";6550;7;1;0;32;9;"M";"Yes";"<High School"
"45";12710;1;2;0;34;14;"F";"Yes";"<High School"
"46";19880;1;1;3642;45;8;"F";"Yes";"Bachelors"
"47";28560;7;2;0;60;13;"M";"No";"PhD"
"48";15040;4;1;0;57;14;"M";"Yes";"Masters"
"49";11130;1;2;0;52;11;"M";"Yes";"Bachelors"
"50";9670;3;3;4614;44;14;"F";"No";"<High School"
"51";9690;9;3;4290,21580529895;45;14;"F";"No";"Bachelors"
"52";6550;12;3;0;45;14;"F";"No";"Bachelors"
"53";4600;6;1;4259;31;12;"F";"No";"High School"
"54";23520;10;2;0;33;14;"M";"Yes";"Bachelors"
"55";8760;1;2;0;47;NA;"M";"Yes";"High School"
"56";8760;6;2;0;47;NA;"M";"Yes";"High School"
"57";15490;9;3;0;43;15;"F";"Yes";"Masters"
"58";1500;10;3;0;44;15;"F";"Yes";"Masters"
"59";15270;10;3;6111;44;15;"F";"Yes";"Masters"
"60";5900;7;2;0;44;9;"F";"No";"Bachelors"
"61";6040;7;1;0;53;12;"F";"Yes";"Masters"
"62";10780;4;1;0;52;13;"M";"Yes";"<High School"
"63";6100;1;2;0;46;4;"M";"No";"Bachelors"
"64";29670;1;2;0;48;14;"M";"Yes";"High School"
"65";18060;8;2;0;43;11;"F";"No";"Masters"
"66";5800;9;2;0;43;11;"F";"No";"Masters"
"67";15600;1;1;0;40;11;"M";"No";"High School"
"68";43350;10;1;0;51;3;"F";"Yes";"<High School"
"69";16860;4;3;0;41;5;"M";"No";"High School"
"70";20630;4;3;14755,3011789254;42;5;"M";"No";"High School"
"71";23460;14;2;0;50;9;"F";"Yes";"Bachelors"
"72";7390;6;1;16916,2159673564;57;13;"M";"Yes";"PhD"
"73";35760;4;1;0;54;7;"M";"Yes";"Masters"
"74";6700;10;1;0;52;6;"M";"No";"Masters"
"75";20920;3;4;4028;26;8;"M";"No";"Bachelors"
"76";29190;10;4;0;29;8;"M";"No";"Bachelors"
"77";6200;4;1;0;47;10;"F";"No";"Bachelors"
"78";13150;1;1;4209,47162893081;39;13;"F";"No";"High School"
"79";24440;4;1;0;37;10;"M";"No";"Masters"
"80";16370;9;1;2000;61;11;"F";"No";"Masters"
"81";21540;7;1;0;44;9;"M";"Yes";"Masters"
"82";6000;1;1;13041,5842994697;45;14;"M";"No";"High School"
"83";5600;9;1;0;41;9;"F";"No";"Bachelors"
"84";6400;12;2;0;49;14;"M";"No";"<High School"
"85";28140;1;2;0;49;14;"M";"No";"<High School"
"86";19400;1;1;0;47;16;"F";"Yes";"Masters"
"87";26500;11;1;0;53;11;"F";"No";"PhD"
"88";23140;1;1;2424;37;10;"M";"No";"Bachelors"
"89";20900;9;1;0;52;12;"M";"Yes";"PhD"
"90";6800;1;2;0;53;12;"M";"No";"Masters"
"91";6850;6;1;0;49;12;"F";"Yes";"Bachelors"
"92";16220;1;1;4623;40;14;"M";"No";"Bachelors"
"93";1500;1;1;2371;45;11;"M";"No";"Bachelors"
"94";12940;1;1;0;47;9;"M";"Yes";"Bachelors"
"95";16970;1;3;0;48;12;"F";"No";"Masters"
"96";29230;6;1;0;31;4;"M";"Yes";"Bachelors"
"97";14510;1;1;0;45;NA;"M";"No";"Bachelors"
"98";12160;10;1;0;43;16;"M";"Yes";"High School"
"99";5430;1;1;4405,22079543346;35;14;"M";"Yes";"<High School"
"100";25660;4;1;4487;27;NA;"M";"No";"Bachelors"
"101";22040;11;2;0;42;14;"F";"Yes";"Masters"
"102";18740;1;2;0;44;15;"F";"Yes";"Masters"
"103";24650;6;1;0;51;9;"M";"Yes";"PhD"
"104";26820;4;1;0;35;11;"F";"Yes";"Masters"
"105";12710;10;2;0;50;7;"M";"Yes";"Bachelors"
"106";18950;10;2;0;51;7;"M";"Yes";"Bachelors"
"107";14440;1;1;0;52;14;"M";"No";"Bachelors"
"108";26470;4;1;7308;56;14;"F";"Yes";"Bachelors"
"109";17930;8;1;0;51;6;"F";"No";"Masters"
"110";16110;1;1;3621;30;9;"F";"No";"<High School"
"111";14170;4;3;5862;38;11;"F";"No";"High School"
"112";14430;9;1;0;37;14;"F";"Yes";"Bachelors"
"113";7300;4;1;4372,50983498339;58;8;"M";"No";"Bachelors"
"114";30660;6;2;0;59;15;"F";"Yes";"High School"
"115";25060;1;2;0;59;15;"F";"Yes";"High School"
"116";17960;12;1;0;36;9;"M";"Yes";"<High School"
"117";23590;1;1;0;40;14;"M";"Yes";"Bachelors"
"118";17680;4;1;5847;37;13;"M";"Yes";"Masters"
"119";1500;4;1;0;54;13;"M";"Yes";"Bachelors"
"120";13350;10;1;0;32;14;"F";"Yes";"Masters"
"121";16090;3;3;0;38;10;"F";"No";"Bachelors"
"122";19960;10;3;0;39;10;"F";"No";"Bachelors"
"123";7610;1;1;0;36;12;"M";"Yes";"<High School"
"124";13440;13;3;0;53;8;"M";"Yes";"Masters"
"125";15570;1;2;3242;61;14;"F";"Yes";"Masters"
"126";7470;1;2;0;37;17;"M";"No";"<High School"
"127";11080;10;2;0;38;17;"M";"Yes";"Bachelors"
"128";16430;6;2;0;61;0;"F";"No";"<High School"
"129";18880;3;3;0;66;14;"F";"Yes";"High School"
"130";12690;1;3;8641,30068382136;67;14;"F";"Yes";"High School"
"131";14080;4;3;2931;67;14;"F";"Yes";"High School"
"132";15380;6;1;0;42;0;"F";"Yes";"High School"
"133";13110;1;1;0;47;12;"F";"Yes";"Masters"
"134";4700;7;1;4995;32;NA;"F";"No";"Bachelors"
"135";19640;1;4;0;51;0;"F";"Yes";"High School"
"136";1500;4;4;2986;53;0;"F";"Yes";"High School"
"137";17290;1;2;3674;43;10;"M";"No";"Masters"
"138";7100;1;4;0;52;13;"F";"Yes";"High School"
"139";24900;3;1;0;44;12;"M";"Yes";"Masters"
"140";17120;10;2;0;44;13;"F";"Yes";"High School"
"141";33690;1;2;0;50;12;"F";"Yes";"High School"
"142";33850;10;2;0;51;14;"F";"Yes";"Bachelors"
"143";14740;1;1;0;62;15;"M";"Yes";"PhD"
"144";31820;4;1;0;53;9;"F";"Yes";"PhD"
"145";8230;1;1;0;62;15;"M";"Yes";"Masters"
"146";13730;1;2;0;37;12;"M";"Yes";"Bachelors"
"147";24510;7;1;0;42;14;"M";"No";"Masters"
"148";1500;4;2;6716;36;0;"F";"Yes";"High School"
"149";5300;10;1;1519,08384812087;38;9;"M";"No";"High School"
"150";9700;4;1;0;47;14;"M";"Yes";"Bachelors"
"151";22450;7;2;1031;38;6;"M";"No";"Masters"
"152";14060;1;1;5051;48;6;"M";"Yes";"Bachelors"
"153";14300;1;1;0;31;14;"F";"Yes";"PhD"
"154";17190;1;1;0;33;NA;"M";"Yes";"Bachelors"
"155";25350;13;1;0;53;13;"M";"Yes";"Masters"
"156";18040;6;2;1306;47;0;"F";"No";"PhD"
"157";6760;6;1;0;35;8;"F";"Yes";"<High School"
"158";11530;1;2;0;47;12;"F";"Yes";"High School"
"159";14140;1;2;4941;48;12;"F";"Yes";"High School"
"160";19150;6;3;0;43;12;"F";"Yes";"<High School"
"161";11910;7;3;7907;44;NA;"F";"Yes";"<High School"
"162";17200;4;3;0;46;9;"M";"Yes";"<High School"
"163";23010;7;2;0;31;8;"F";"No";"<High School"
"164";3910;4;2;7691,95174794201;46;8;"M";"No";"<High School"
"165";19780;1;2;0;46;NA;"M";"No";"<High School"
"166";5400;3;2;0;39;11;"M";"Yes";"PhD"
"167";20840;6;1;0;50;16;"F";"Yes";"Masters"
"168";38120;1;1;0;47;12;"F";"Yes";"PhD"
"169";21430;1;3;0;54;15;"F";"Yes";"Masters"
"170";28840;10;2;0;43;11;"M";"Yes";"Masters"
"171";14050;1;2;0;59;17;"F";"Yes";"Bachelors"
"172";14510;6;1;0;42;11;"M";"Yes";"Bachelors"
"173";15370;1;1;0;56;12;"M";"No";"PhD"
"174";5100;4;1;0;36;8;"M";"No";"High School"
"175";11640;1;1;0;53;7;"M";"Yes";"<High School"
"176";6700;11;1;0;52;7;"M";"No";"Masters"
"177";17610;10;1;0;48;13;"M";"Yes";"High School"
"178";14730;3;1;0;36;11;"M";"Yes";"High School"
"179";12720;1;1;879;46;11;"M";"Yes";"<High School"
"180";5270;1;1;0;45;12;"F";"No";"High School"
"181";15720;1;1;0;49;11;"F";"Yes";"Masters"
"182";10970;1;1;0;34;9;"F";"No";"High School"
"183";4270;4;1;3562;16;11;"M";"Yes";"High School"
"184";21860;13;1;0;46;13;"F";"Yes";"PhD"
"185";22690;10;2;0;38;12;"F";"Yes";"<High School"
"186";5400;7;2;0;39;12;"F";"Yes";"High School"
"187";11700;1;1;0;46;13;"M";"Yes";"High School"
"188";14530;1;1;0;49;2;"M";"Yes";"Bachelors"
"189";17330;4;2;0;31;12;"F";"Yes";"<High School"
"190";18060;1;2;0;31;12;"F";"Yes";"<High School"
"191";7820;10;3;0;42;0;"M";"Yes";"High School"
"192";20430;4;3;0;47;0;"M";"Yes";"High School"
"193";14340;3;3;0;54;13;"F";"No";"Bachelors"
"194";19760;3;3;0;55;13;"F";"No";"Bachelors"
"195";29980;4;1;0;48;11;"M";"Yes";"Masters"
"196";5500;10;1;0;40;10;"F";"No";"Bachelors"
"197";10020;17;2;0;45;NA;"F";"No";"<High School"
"198";10240;1;2;5266,80210305578;45;NA;"F";"No";"<High School"
"199";27420;13;4;0;42;2;"M";"Yes";"<High School"
"200";10960;1;4;0;44;2;"M";"Yes";"<High School"
"201";12190;1;1;0;36;12;"M";"No";"<High School"
"202";10510;4;6;0;47;11;"M";"Yes";"Bachelors"
"203";9950;6;6;0;50;11;"M";"Yes";"<High School"
"204";22260;10;1;5363;37;17;"F";"Yes";"High School"
"205";16760;6;1;1618;51;0;"F";"No";"High School"
"206";22040;6;1;0;58;14;"F";"Yes";"Bachelors"
"207";5820;7;1;3518;30;8;"F";"No";"High School"
"208";19680;4;1;0;43;NA;"F";"Yes";"High School"
"209";16920;3;1;1444;45;17;"F";"Yes";"<High School"
"210";4690;4;4;2928;49;16;"M";"Yes";"High School"
"211";9030;11;4;0;49;16;"M";"Yes";"High School"
"212";15340;1;1;0;39;15;"M";"Yes";"<High School"
"213";8040;1;1;0;60;14;"M";"No";"Bachelors"
"214";9590;10;1;0;53;5;"F";"No";"<High School"
"215";18760;1;2;0;52;13;"M";"No";"Masters"
"216";34420;11;1;3106;47;13;"M";"No";"PhD"
"217";40580;13;3;0;59;18;"M";"Yes";"Masters"
"218";11040;4;3;0;61;18;"M";"Yes";"Masters"
"219";24670;1;1;0;49;11;"F";"No";"PhD"
"220";13210;3;1;0;46;12;"F";"No";"<High School"
"221";14530;1;1;19744,5254509794;43;0;"F";"Yes";"High School"
"222";9370;10;2;3068,91466223298;29;0;"F";"No";"High School"
"223";15610;4;2;5530;29;0;"F";"No";"High School"
"224";7920;7;1;1479;24;8;"F";"Yes";"High School"
"225";11010;4;1;0;44;10;"F";"No";"Masters"
"226";19690;1;1;0;33;14;"F";"No";"High School"
"227";13420;14;2;0;50;13;"M";"Yes";"Bachelors"
"228";1530;4;2;0;51;13;"M";"Yes";"Bachelors"
"229";37010;1;2;0;56;16;"M";"Yes";"Masters"
"230";8070;6;1;0;36;7;"F";"No";"<High School"
"231";16780;4;2;4430;47;13;"M";"Yes";"<High School"
"232";10300;1;2;3304;48;13;"M";"Yes";"<High School"
"233";14960;1;1;0;63;12;"M";"Yes";"Bachelors"
"234";19120;3;2;5818;44;11;"M";"No";"Bachelors"
"235";26560;3;2;0;50;11;"F";"Yes";"High School"
"236";25060;4;1;0;49;14;"M";"Yes";"<High School"
"237";10960;4;1;0;45;14;"F";"Yes";"Masters"
"238";20990;1;2;0;45;14;"F";"Yes";"Bachelors"
"239";7810;1;1;0;40;14;"F";"Yes";"<High School"
"240";18020;9;2;0;53;11;"M";"No";"Masters"
"241";30440;1;2;0;54;NA;"M";"No";"Masters"
"242";16030;1;1;0;50;8;"M";"Yes";"High School"
"243";8930;10;2;0;52;13;"F";"No";"<High School"
"244";17050;6;2;4112,14342762216;55;0;"F";"No";"<High School"
"245";14670;10;2;0;44;14;"F";"Yes";"PhD"
"246";1500;17;2;3850;46;0;"F";"No";"High School"
"247";15790;1;2;0;35;14;"F";"Yes";"Bachelors"
"248";21840;1;1;3008;54;NA;"F";"Yes";"High School"
"249";24690;4;3;5359;33;13;"M";"Yes";"High School"
"250";25280;11;3;0;36;11;"M";"Yes";"High School"
"251";27330;10;1;0;35;11;"M";"No";"High School"
"252";13240;1;1;0;48;8;"F";"No";"Bachelors"
"253";16530;4;1;0;43;14;"F";"Yes";"High School"
"254";8260;13;1;1139;40;10;"F";"No";"High School"
"255";7900;6;2;12300,5536902121;64;0;"M";"Yes";"High School"
"256";24090;7;2;0;65;NA;"M";"Yes";"<High School"
"257";5700;12;1;0;42;13;"F";"Yes";"<High School"
"258";9040;10;2;0;36;7;"F";"Yes";"High School"
"259";33880;6;1;0;59;14;"F";"No";"PhD"
"260";23110;6;2;4993;36;9;"F";"No";"High School"
"261";24810;6;2;5524;36;9;"F";"No";"High School"
"262";4940;6;2;0;34;11;"M";"No";"High School"
"263";10220;7;1;0;55;12;"F";"Yes";"Masters"
"264";16170;6;2;0;30;10;"M";"Yes";"High School"
"265";6100;1;1;0;46;10;"F";"No";"PhD"
"266";31180;6;1;0;37;12;"M";"Yes";"Masters"
"267";24370;1;2;0;36;10;"F";"No";"Bachelors"
"268";18340;7;3;0;54;10;"M";"Yes";"Masters"
"269";7310;10;3;0;55;10;"M";"Yes";"Masters"
"270";21750;10;1;0;53;15;"F";"Yes";"Masters"
"271";17240;13;1;0;49;11;"F";"Yes";"Bachelors"
"272";17450;1;1;0;38;12;"F";"Yes";"High School"
"273";1500;7;1;0;45;0;"M";"Yes";"High School"
"274";17680;1;1;0;41;13;"M";"No";"High School"
"275";24260;4;1;0;45;11;"F";"No";"Bachelors"
"276";13000;6;1;22351,7074259566;22;0;"F";"Yes";"PhD"
"277";1500;1;2;0;48;0;"F";"Yes";"High School"
"278";10420;1;1;0;43;15;"F";"Yes";"Bachelors"
"279";14560;6;2;0;42;NA;"M";"Yes";"High School"
"280";11210;10;1;0;57;14;"F";"No";"PhD"
"281";20680;1;1;0;39;5;"F";"Yes";"Bachelors"
"282";13410;1;1;0;53;15;"F";"Yes";"Bachelors"
"283";10180;1;3;3270;39;10;"M";"No";"Bachelors"
"284";24450;6;3;0;41;0;"M";"No";"Bachelors"
"285";15520;7;1;0;56;NA;"M";"Yes";"Masters"
"286";13580;3;1;0;49;12;"F";"No";"Bachelors"
"287";31780;7;2;0;48;9;"F";"No";"Masters"
"288";22580;6;1;0;63;14;"M";"Yes";"PhD"
"289";9690;1;1;0;38;8;"F";"Yes";"High School"
"290";8420;10;1;0;51;10;"M";"No";"Bachelors"
"291";1500;4;1;0;38;0;"M";"Yes";"<High School"
"292";33050;13;1;6992,98063750721;39;11;"F";"Yes";"Masters"
"293";16540;1;2;0;44;NA;"F";"Yes";"Bachelors"
"294";13140;9;4;3731;39;15;"F";"Yes";"High School"
"295";17110;1;4;0;43;16;"F";"Yes";"Bachelors"
"296";18080;1;1;4004;43;15;"F";"No";"Bachelors"
"297";14370;13;2;0;48;12;"M";"Yes";"Bachelors"
